comparison,left_condition,right_condition,subset,metric,n_pairs,left_mean,right_mean,mean_difference,median_difference,bootstrap_ci_low,bootstrap_ci_high,permutation_p_value,permutation_method,wilcoxon_statistic,wilcoxon_p_value
multi_turn_minus_direct,direct,multi_turn,harmful,mean_first_32_token_logprob,10,-0.1038265132,-0.1691734776,-0.0653469644,-0.0367080920,-0.1374812107,-0.0086937331,0.0546875000,exact_sign_flip,7.0000000000,0.0371093750
multi_turn_minus_direct,direct,multi_turn,harmful,mean_token_entropy,10,0.2403155324,0.3656157086,0.1253001762,0.0757312963,0.0511106754,0.2035228765,0.0117187500,exact_sign_flip,5.0000000000,0.0195312500
multi_turn_minus_direct,direct,multi_turn,harmful,mean_top1_top2_probability_margin,10,0.8451071504,0.7917646917,-0.0533424586,-0.0473043489,-0.0814859980,-0.0202325995,0.0156250000,exact_sign_flip,6.0000000000,0.0273437500
multi_turn_minus_direct,direct,multi_turn,benign,mean_token_logprob,10,-0.2116398436,-0.1928653983,0.0187744453,0.0102159740,-0.0077976141,0.0459364969,0.2187500000,exact_sign_flip,17.0000000000,0.3222656250
multi_turn_minus_direct,direct,multi_turn,benign,geometric_mean_token_probability,10,0.8123728964,0.8277681942,0.0153952978,0.0078219983,-0.0065872718,0.0381247356,0.2304687500,exact_sign_flip,17.0000000000,0.3222656250
multi_turn_minus_direct,direct,multi_turn,benign,perplexity,10,1.2409864928,1.2175531080,-0.0234333848,-0.0133286689,-0.0565034693,0.0097910503,0.2148437500,exact_sign_flip,17.0000000000,0.3222656250
multi_turn_minus_direct,direct,multi_turn,benign,mean_first_8_token_logprob,10,-0.1978677112,-0.1393278270,0.0585398843,0.0399562920,-0.0375514638,0.1690201693,0.3574218750,exact_sign_flip,19.0000000000,0.4316406250
multi_turn_minus_direct,direct,multi_turn,benign,mean_first_16_token_logprob,10,-0.1740761729,-0.1456152590,0.0284609139,-0.0015717663,-0.0520695280,0.1162876984,0.5390625000,exact_sign_flip,25.0000000000,0.8457031250
multi_turn_minus_direct,direct,multi_turn,benign,mean_first_32_token_logprob,10,-0.1850377718,-0.1933996160,-0.0083618442,-0.0245791874,-0.0718303153,0.0624084117,0.8261718750,exact_sign_flip,24.0000000000,0.7695312500
multi_turn_minus_direct,direct,multi_turn,benign,mean_token_entropy,10,0.4509286750,0.4267743500,-0.0241543250,-0.0115185989,-0.0873369043,0.0375025836,0.4804687500,exact_sign_flip,18.0000000000,0.3750000000
multi_turn_minus_direct,direct,multi_turn,benign,mean_top1_top2_probability_margin,10,0.7538723877,0.7803743004,0.0265019127,0.0127792183,-0.0009004939,0.0563879281,0.1386718750,exact_sign_flip,13.0000000000,0.1601562500
multi_turn_minus_direct,direct,multi_turn,both_refusal,mean_token_logprob,8,-0.1115576983,-0.1483638358,-0.0368061375,-0.0375931970,-0.0618831681,-0.0095307615,0.0546875000,exact_sign_flip,6.0000000000,0.1093750000
